playerId,tournamentId,hole,par,score
115,30,1,3,3
115,30,2,4,4
115,30,3,4,4
115,30,4,4,5
115,30,5,3,4
115,30,6,5,4
115,30,7,5,4
115,30,8,4,4
115,30,9,3,2
115,30,10,4,3
115,30,11,5,4
115,30,12,3,3
115,30,13,4,4
115,30,14,4,5
115,30,15,4,4
115,30,16,4,4
115,30,17,4,4
115,30,18,4,4
115,30,1,3,3
115,30,2,4,4
115,30,3,4,4
115,30,4,4,3
115,30,5,3,3
115,30,6,5,4
115,30,7,5,5
115,30,8,4,4
115,30,9,3,3
115,30,10,4,6
115,30,11,5,4
115,30,12,3,4
115,30,13,4,5
115,30,14,4,4
115,30,15,4,4
115,30,16,4,4
115,30,17,4,4
115,30,18,4,5
115,30,1,3,3
115,30,2,4,3
115,30,3,4,4
115,30,4,4,4
115,30,5,3,3
115,30,6,5,5
115,30,7,5,4
115,30,8,4,3
115,30,9,3,3
115,30,10,4,3
115,30,11,5,4
115,30,12,3,3
115,30,13,4,3
115,30,14,4,3
115,30,15,4,5
115,30,16,4,4
115,30,17,4,4
115,30,18,4,4
115,30,1,3,3
115,30,2,4,4
115,30,3,4,3
115,30,4,4,4
115,30,5,3,3
115,30,6,5,4
115,30,7,5,4
115,30,8,4,4
115,30,9,3,3
115,30,10,4,4
115,30,11,5,4
115,30,12,3,4
115,30,13,4,3
115,30,14,4,4
115,30,15,4,4
115,30,16,4,4
115,30,17,4,4
115,30,18,4,4
526,30,1,3,3
526,30,2,4,4
526,30,3,4,4
526,30,4,4,4
526,30,5,3,4
526,30,6,5,4
526,30,7,5,5
526,30,8,4,3
526,30,9,3,3
526,30,10,4,4
526,30,11,5,4
526,30,12,3,4
526,30,13,4,5
526,30,14,4,4
526,30,15,4,4
526,30,16,4,3
526,30,17,4,4
526,30,18,4,3
526,30,1,3,3
526,30,2,4,3
526,30,3,4,4
526,30,4,4,4
526,30,5,3,3
526,30,6,5,4
526,30,7,5,4
526,30,8,4,4
526,30,9,3,3
526,30,10,4,4
526,30,11,5,5
526,30,12,3,3
526,30,13,4,5
526,30,14,4,4
526,30,15,4,4
526,30,16,4,4
526,30,17,4,3
526,30,18,4,5
526,30,1,3,3
526,30,2,4,4
526,30,3,4,5
526,30,4,4,4
526,30,5,3,3
526,30,6,5,4
526,30,7,5,5
526,30,8,4,4
526,30,9,3,3
526,30,10,4,4
526,30,11,5,5
526,30,12,3,3
526,30,13,4,4
526,30,14,4,4
526,30,15,4,5
526,30,16,4,4
526,30,17,4,4
526,30,18,4,4
526,30,1,3,2
526,30,2,4,4
526,30,3,4,3
526,30,4,4,4
526,30,5,3,3
526,30,6,5,4
526,30,7,5,4
526,30,8,4,4
526,30,9,3,3
526,30,10,4,4
526,30,11,5,4
526,30,12,3,3
526,30,13,4,4
526,30,14,4,5
526,30,15,4,4
526,30,16,4,4
526,30,17,4,4
526,30,18,4,4
463,30,1,3,3
463,30,2,4,3
463,30,3,4,5
463,30,4,4,4
463,30,5,3,3
463,30,6,5,5
463,30,7,5,5
463,30,8,4,4
463,30,9,3,3
463,30,10,4,3
463,30,11,5,6
463,30,12,3,4
463,30,13,4,4
463,30,14,4,4
463,30,15,4,5
463,30,16,4,3
463,30,17,4,4
463,30,18,4,4
463,30,1,3,3
463,30,2,4,4
463,30,3,4,5
463,30,4,4,4
463,30,5,3,3
463,30,6,5,4
463,30,7,5,4
463,30,8,4,4
463,30,9,3,3
463,30,10,4,4
463,30,11,5,4
463,30,12,3,3
463,30,13,4,3
463,30,14,4,4
463,30,15,4,4
463,30,16,4,4
463,30,17,4,4
463,30,18,4,4
463,30,1,3,3
463,30,2,4,4
463,30,3,4,4
463,30,4,4,4
463,30,5,3,3
463,30,6,5,4
463,30,7,5,5
463,30,8,4,4
463,30,9,3,3
463,30,10,4,4
463,30,11,5,3
463,30,12,3,3
463,30,13,4,4
463,30,14,4,4
463,30,15,4,3
463,30,16,4,5
463,30,17,4,3
463,30,18,4,4
463,30,1,3,4
463,30,2,4,4
463,30,3,4,5
463,30,4,4,5
463,30,5,3,3
463,30,6,5,3
463,30,7,5,5
463,30,8,4,4
463,30,9,3,3
463,30,10,4,4
463,30,11,5,4
463,30,12,3,3
463,30,13,4,3
463,30,14,4,4
463,30,15,4,5
463,30,16,4,3
463,30,17,4,5
463,30,18,4,4
123,30,1,3,4
123,30,2,4,4
123,30,3,4,5
123,30,4,4,4
123,30,5,3,3
123,30,6,5,4
123,30,7,5,6
123,30,8,4,4
123,30,9,3,2
123,30,10,4,4
123,30,11,5,5
123,30,12,3,4
123,30,13,4,4
123,30,14,4,4
123,30,15,4,3
123,30,16,4,4
123,30,17,4,4
123,30,18,4,3
123,30,1,3,3
123,30,2,4,4
123,30,3,4,4
123,30,4,4,4
123,30,5,3,3
123,30,6,5,5
123,30,7,5,5
123,30,8,4,4
123,30,9,3,3
123,30,10,4,4
123,30,11,5,4
123,30,12,3,3
123,30,13,4,4
123,30,14,4,4
123,30,15,4,5
123,30,16,4,4
123,30,17,4,5
123,30,18,4,3
123,30,1,3,3
123,30,2,4,5
123,30,3,4,4
123,30,4,4,3
123,30,5,3,3
123,30,6,5,4
123,30,7,5,4
123,30,8,4,4
123,30,9,3,2
123,30,10,4,4
123,30,11,5,5
123,30,12,3,3
123,30,13,4,3
123,30,14,4,4
123,30,15,4,5
123,30,16,4,3
123,30,17,4,4
123,30,18,4,4
123,30,1,3,3
123,30,2,4,4
123,30,3,4,4
123,30,4,4,5
123,30,5,3,3
123,30,6,5,5
123,30,7,5,5
123,30,8,4,4
123,30,9,3,2
123,30,10,4,4
123,30,11,5,5
123,30,12,3,3
123,30,13,4,4
123,30,14,4,3
123,30,15,4,4
123,30,16,4,4
123,30,17,4,4
123,30,18,4,3
82,30,1,3,5
82,30,2,4,4
82,30,3,4,4
82,30,4,4,3
82,30,5,3,3
82,30,6,5,5
82,30,7,5,5
82,30,8,4,4
82,30,9,3,3
82,30,10,4,3
82,30,11,5,5
82,30,12,3,4
82,30,13,4,4
82,30,14,4,4
82,30,15,4,4
82,30,16,4,4
82,30,17,4,3
82,30,18,4,3
82,30,1,3,3
82,30,2,4,4
82,30,3,4,3
82,30,4,4,4
82,30,5,3,3
82,30,6,5,4
82,30,7,5,4
